epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3203,1.50238,2.39815,1.48468,0.72956,0.08955,0.28091,0.13349,1.57569,2.85989,1.43641,0.000651852,0.000651852,0.000651852
2,48.7761,1.50156,1.89977,1.48751,0.09724,0.12935,0.05998,0.02778,2.09258,3.27768,2.16307,0.00129987,0.00129987,0.00129987
3,69.649,1.54407,1.91176,1.56666,0.32854,0.33831,0.24676,0.11191,1.82935,3.19616,1.93027,0.00192903,0.00192903,0.00192903
4,89.4902,1.55779,1.73053,1.50884,0.28728,0.38302,0.21503,0.10453,1.72629,2.84466,1.77254,0.00191514,0.00191514,0.00191514
5,110.747,1.54495,1.68322,1.51033,0.50409,0.40964,0.42119,0.21902,1.7568,2.08886,1.73918,0.00188686,0.00188686,0.00188686
6,133.97,1.51124,1.66762,1.53043,0.53755,0.54726,0.50558,0.23846,1.6652,2.19333,1.63023,0.00185857,0.00185857,0.00185857
7,155.234,1.50952,1.58838,1.51457,0.60472,0.44776,0.47306,0.23685,1.77665,1.91941,1.72923,0.00183029,0.00183029,0.00183029
8,178.567,1.46508,1.49425,1.47257,0.47474,0.45274,0.44787,0.20536,1.74335,1.8375,1.79165,0.001802,0.001802,0.001802
9,199.71,1.45238,1.47688,1.45904,0.56515,0.57711,0.52473,0.2688,1.69431,1.74081,1.67679,0.00177371,0.00177371,0.00177371
10,222.641,1.40438,1.39944,1.43333,0.56651,0.56219,0.55879,0.29554,1.62548,1.7584,1.57643,0.00174543,0.00174543,0.00174543
11,243.319,1.4369,1.37027,1.42825,0.671,0.50249,0.58057,0.32225,1.58175,1.52081,1.54884,0.00171714,0.00171714,0.00171714
12,264.773,1.37485,1.31643,1.40852,0.58877,0.61971,0.58243,0.3135,1.58829,1.50271,1.51524,0.00168886,0.00168886,0.00168886
