epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7765,1.50238,2.39815,1.48468,0.72956,0.08955,0.28091,0.13349,1.57569,2.85989,1.43641,0.000651852,0.000651852,0.000651852
2,46.4195,1.50178,1.90434,1.49102,0.20771,0.1791,0.11522,0.04699,1.8146,2.99474,1.90828,0.00129241,0.00129241,0.00129241
3,66.1895,1.5534,1.90799,1.55601,0.42818,0.38308,0.32945,0.12042,1.93224,3.02231,2.09831,0.00190657,0.00190657,0.00190657
4,86.0533,1.55921,1.76035,1.51134,0.21884,0.22439,0.17271,0.07027,1.76809,6.00299,1.75931,0.0018812,0.0018812,0.0018812
5,105.418,1.5279,1.70866,1.51969,0.56354,0.32836,0.33132,0.15299,1.88666,2.86052,1.92632,0.0018416,0.0018416,0.0018416
6,125.542,1.52747,1.63164,1.53653,0.54665,0.59204,0.54656,0.28758,1.63426,1.66382,1.599,0.001802,0.001802,0.001802
7,146.409,1.48918,1.56488,1.49689,0.42177,0.59701,0.47292,0.23331,1.73321,1.97541,1.64128,0.0017624,0.0017624,0.0017624
8,165.419,1.46443,1.49035,1.45207,0.53629,0.46766,0.43841,0.20646,1.87913,1.89752,1.8146,0.0017228,0.0017228,0.0017228
9,184.767,1.43927,1.45048,1.44793,0.56247,0.56716,0.58326,0.295,1.70635,1.56707,1.65686,0.0016832,0.0016832,0.0016832
10,209.809,1.39741,1.3797,1.43515,0.65848,0.51801,0.55639,0.30018,1.58375,1.65775,1.57033,0.0016436,0.0016436,0.0016436
11,229.777,1.42336,1.35976,1.44061,0.5594,0.61692,0.60558,0.31693,1.60382,1.58057,1.5557,0.001604,0.001604,0.001604
12,251.142,1.36154,1.3188,1.40488,0.60972,0.61692,0.58485,0.30667,1.56609,1.60992,1.52404,0.0015644,0.0015644,0.0015644
13,271.534,1.39026,1.30685,1.39696,0.66856,0.58209,0.6166,0.32176,1.59971,1.45124,1.54787,0.0015248,0.0015248,0.0015248
14,293.376,1.34974,1.27305,1.391,0.64408,0.5582,0.60194,0.341,1.52073,1.46742,1.49447,0.0014852,0.0014852,0.0014852
15,314.926,1.33395,1.23398,1.37719,0.57724,0.61818,0.6211,0.3534,1.51915,1.41923,1.49605,0.0014456,0.0014456,0.0014456
16,335.874,1.31267,1.19244,1.35134,0.69485,0.56219,0.64239,0.34942,1.55918,1.40545,1.53541,0.001406,0.001406,0.001406
17,355.683,1.31265,1.20698,1.36905,0.7036,0.61692,0.6885,0.3771,1.53562,1.3618,1.49098,0.0013664,0.0013664,0.0013664
18,376.436,1.29937,1.18954,1.36075,0.63566,0.64677,0.62712,0.35651,1.56248,1.38686,1.47464,0.0013268,0.0013268,0.0013268
